User Input,Questa's Response,Timestamp
hi,Hey,2024-12-29 20:04:01
what is my age,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-29 20:04:15
what is my age,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-29 20:11:17
hi,Hello,2024-12-29 20:44:21
hi,Hello,2024-12-29 20:48:18
recommend me a song,"As an AI, I don't watch movies, but I can suggest some popular ones like The Shawshank Redemption, Inception, or The Godfather.",2024-12-29 20:49:21
recommend me a cute song,"I may not have personal preferences, but I can help you find movies based on your taste!",2024-12-29 20:49:30
what is my age,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-29 20:49:52
tell me ,"As an AI, I don't watch movies, but I can suggest some popular ones like The Shawshank Redemption, Inception, or The Godfather.",2024-12-29 20:51:17
what is my age,i am a chatbot,2024-12-30 11:13:36
how are you?,i am a chatbot,2024-12-30 11:13:53
color,as an ai i dont have preferences like humans do,2024-12-30 11:14:01
bye,gardening tips include choosing the right plants for your climate watering properly and using organic fertilizers,gardening,2024-12-30 22:43:01
bye,gardening tips include choosing the right plants for your climate watering properly and using organic fertilizers,gardening,2024-12-30 22:43:05
hello,gardening tips include choosing the right plants for your climate watering properly and using organic fertilizers,gardening,2024-12-30 22:43:35
bye,growing a vegetable garden allows you to enjoy fresh produce and connect with nature,gardening,2024-12-30 22:44:08
hi,good to see you again,greeting,2025-01-01 12:05:31
hi,welcome anything else i can assist you with,salutaion,2025-01-01 12:34:10
hi,our university offers information technology computer engineering mechanical engineeringchemical engineering civil engineering and extc engineering,course,2025-01-01 12:36:03
hi,our university offers information technology computer engineering mechanical engineeringchemical engineering civil engineering and extc engineering,course,2025-01-01 12:52:46
hi,our university offers information technology computer engineering mechanical engineeringchemical engineering civil engineering and extc engineering,course,2025-01-01 12:56:08
what is my age,college is open 8am5pm mondaysaturday,hours,2025-01-01 12:58:51
who is the hod,all engineering departments have only one hod xyz who available on place name,ithod,2025-01-01 12:59:12
what is my age,college is open 8am5pm mondaysaturday,hours,2025-01-01 13:00:24
hello,hello,greeting,2025-01-01 13:00:28
hello,good to see you again,greeting,2025-01-01 14:12:57
what is my age,to know about placement visit a target_blank hrefplacement information link from your university website if they haveherea,placement,2025-01-03 17:21:47
is ragging practice active in college,we are proud to tell you that our college provides ragging free environment and we have strict rules against ragging,ragging,2025-01-03 17:22:14
hello,hello,greeting,2025-01-03 19:08:48
heeloo,i am glad i helped you,salutaion,2025-01-03 19:29:58
hello,good to see you again,greeting,2025-01-03 19:31:07
hello,good to see you again,greeting,2025-01-03 19:33:50
hello,hi there how can i help,greeting,2025-01-03 19:34:51
hello,hi there how can i help,greeting,2025-01-03 20:01:07
hello,hello,greeting,2025-01-03 20:10:06
Hello,good to see you again,greeting,2025-01-03 20:12:49
Hello,hi there how can i help,greeting,2025-01-03 20:15:43
what is my age,i am glad i helped you,salutaion,2025-01-03 20:18:36
Hello,hi there how can i help,greeting,2025-01-03 20:20:34
e,i am glad i helped you,salutaion,2025-01-03 20:20:37
hello,good to see you again,greeting,2025-01-03 20:24:18
ww,i am glad i helped you,salutaion,2025-01-03 20:24:25
hello,hi there how can i help,greeting,2025-01-03 22:08:10
Hello,hello,greeting,2025-01-03 22:19:02
h,Come back soon,goodbye,2025-01-03 22:24:03
Hello,Hi there how can I help,greeting,2025-01-03 22:29:29
what is my age,Goodbye,goodbye,2025-01-03 22:29:35
hey,Goodbye,goodbye,2025-01-03 22:29:40
l,Come back soon,goodbye,2025-01-03 22:29:45
Hello,Hello,greeting,2025-01-04 16:51:52
hey,Maintaining decency would be appreciated,swear,2025-01-04 16:51:57
what is my age,please use appropriate language,swear,2025-01-04 16:52:05
you are made by whom,College students,creator,2025-01-04 16:52:43
what is your name,I am your helper,name,2025-01-04 16:53:12
what is your name,You can call me Mind Reader,name,2025-01-04 16:53:18
hello,Hi there how can I help,greeting,2025-03-18 22:03:24
